state,geographic_area,state_pop,state_density,weighted_density,highlight
36, New York,19378102,411.2,15919,TRUE
34, New Jersey,8791894,1195.5,3217,FALSE
17, Illinois,12830632,231.1,2675,TRUE
25, Massachusetts,6547629,839.4,2423,FALSE
42, Pennsylvania,12702379,283.9,2049,FALSE
24, Maryland,5773552,594.8,1884,FALSE
06, California,37253956,239.1,1739,FALSE
51, Virginia,8001024,202.6,1644,FALSE
44, Rhode Island,1052567,1018.1,1275,FALSE
15, Hawaii,1360301,211.8,1139,FALSE
48, Texas,25145561,96.3,1121,TRUE
09, Connecticut,3574097,738.1,1112,FALSE
26, Michigan,9883640,174.8,1054,FALSE
39, Ohio,11536504,282.3,1028,FALSE
27, Minnesota,5303925,66.6,950,TRUE
12, Florida,18801310,350.6,926,FALSE
13, Georgia,9687653,168.4,912,FALSE
55, Wisconsin,5686986,105,877,FALSE
29, Missouri,5988927,87.1,862,FALSE
10, Delaware,897934,460.8,854,FALSE
08, Colorado,5029196,48.5,772,TRUE
49, Utah,2763885,33.6,721,TRUE
18, Indiana,6483802,181,625,FALSE
31, Nebraska,1826341,23.8,573,TRUE
21, Kentucky,4339367,109.9,545,FALSE
37, North Carolina,9535483,196.1,541,FALSE
22, Louisiana,4533372,104.9,526,FALSE
47, Tennessee,6346105,153.9,508,FALSE
41, Oregon,3831074,39.9,499,TRUE
53, Washington,6724540,101.2,472,FALSE
40, Oklahoma,3751351,54.7,433,FALSE
20, Kansas,2853118,34.9,415,TRUE
33, New Hampshire,1316470,147,305,FALSE
45, South Carolina,4625364,153.9,276,FALSE
04, Arizona,6392017,56.3,272,FALSE
01, Alabama,4779736,94.4,232,FALSE
35, New Mexico,2059179,17,206,TRUE
19, Iowa,3046355,54.5,205,FALSE
32, Nevada,2700551,24.6,199,FALSE
54, West Virginia,1852994,77.1,161,FALSE
16, Idaho,1567582,19,160,FALSE
05, Arkansas,2915918,56,159,FALSE
23, Maine,1328361,43.1,153,FALSE
28, Mississippi,2967297,63.2,131,FALSE
50, Vermont,625741,67.9,118,FALSE
02, Alaska,710231,1.2,74,TRUE
46, South Dakota,814180,10.7,64,FALSE
38, North Dakota,672591,9.7,36,FALSE
30, Montana,989415,6.8,26,FALSE
56, Wyoming,563626,5.8,12,FALSE
